Data supplied by UK-AIR on 25/3/2020
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth Anglesea Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2019,01:00,21.256,R,ugm-3 (Ref.eq),7.07650,R,ugm-3,20.56870,R,ugm-3,31.41919,R,ugm-3
01-01-2019,02:00,15.459,R,ugm-3 (Ref.eq),5.50005,R,ugm-3,14.00898,R,ugm-3,22.44228,R,ugm-3
01-01-2019,03:00,14.493,R,ugm-3 (Ref.eq),3.50322,R,ugm-3,10.36447,R,ugm-3,15.73600,R,ugm-3
01-01-2019,04:00,12.561,R,ugm-3 (Ref.eq),3.57328,R,ugm-3,11.57717,R,ugm-3,17.05613,R,ugm-3
01-01-2019,05:00,18.358,R,ugm-3 (Ref.eq),1.89174,R,ugm-3,12.30732,R,ugm-3,15.20794,R,ugm-3
01-01-2019,06:00,16.425,R,ugm-3 (Ref.eq),2.06690,R,ugm-3,19.43149,R,ugm-3,22.60070,R,ugm-3
01-01-2019,07:00,17.392,R,ugm-3 (Ref.eq),1.89174,R,ugm-3,8.87497,R,ugm-3,11.77560,R,ugm-3
01-01-2019,08:00,16.425,R,ugm-3 (Ref.eq),2.45225,R,ugm-3,17.83732,R,ugm-3,21.59739,R,ugm-3
01-01-2019,09:00,15.459,R,ugm-3 (Ref.eq),4.13380,R,ugm-3,24.92237,R,ugm-3,31.26077,R,ugm-3
01-01-2019,10:00,14.493,R,ugm-3 (Ref.eq),6.06057,R,ugm-3,27.51259,R,ugm-3,36.80534,R,ugm-3
01-01-2019,11:00,16.425,R,ugm-3 (Ref.eq),9.07334,R,ugm-3,24.16041,R,ugm-3,38.07267,R,ugm-3
01-01-2019,12:00,19.324,R,ugm-3 (Ref.eq),17.86642,R,ugm-3,31.90563,R,ugm-3,59.30042,R,ugm-3
01-01-2019,13:00,15.459,R,ugm-3 (Ref.eq),20.24861,R,ugm-3,32.47742,R,ugm-3,63.52485,R,ugm-3
01-01-2019,14:00,13.527,R,ugm-3 (Ref.eq),16.39507,R,ugm-3,29.93724,R,ugm-3,55.07599,R,ugm-3
01-01-2019,15:00,12.561,R,ugm-3 (Ref.eq),18.07661,R,ugm-3,39.82098,R,ugm-3,67.53806,R,ugm-3
01-01-2019,16:00,12.561,R,ugm-3 (Ref.eq),21.26454,R,ugm-3,44.12102,R,ugm-3,76.72619,R,ugm-3
01-01-2019,17:00,10.628,R,ugm-3 (Ref.eq),15.65939,R,ugm-3,37.92996,R,ugm-3,61.94069,R,ugm-3
01-01-2019,18:00,15.459,R,ugm-3 (Ref.eq),20.73906,R,ugm-3,39.54060,R,ugm-3,71.34004,R,ugm-3
01-01-2019,19:00,15.459,R,ugm-3 (Ref.eq),14.50333,R,ugm-3,41.33953,R,ugm-3,63.57766,R,ugm-3
01-01-2019,20:00,15.459,R,ugm-3 (Ref.eq),6.86631,R,ugm-3,33.82831,R,ugm-3,44.35650,R,ugm-3
01-01-2019,21:00,13.527,R,ugm-3 (Ref.eq),26.72956,R,ugm-3,71.17383,R,ugm-3,112.15859,R,ugm-3
01-01-2019,22:00,14.493,R,ugm-3 (Ref.eq),8.93321,R,ugm-3,53.31261,R,ugm-3,67.01001,R,ugm-3
01-01-2019,23:00,14.493,R,ugm-3 (Ref.eq),1.78664,R,ugm-3,28.83813,R,ugm-3,31.57761,R,ugm-3
01-01-2019,24:00,18.358,R,ugm-3 (Ref.eq),1.05097,R,ugm-3,16.92322,R,ugm-3,18.53468,R,ugm-3
02-01-2019,01:00,16.425,R,ugm-3 (Ref.eq),0.35042,R,ugm-3,11.45115,R,ugm-3,11.98845,R,ugm-3
02-01-2019,02:00,14.493,R,ugm-3 (Ref.eq),0.70083,R,ugm-3,19.46948,R,ugm-3,20.54408,R,ugm-3
02-01-2019,03:00,16.425,R,ugm-3 (Ref.eq),2.80334,R,ugm-3,25.27664,R,ugm-3,29.57503,R,ugm-3
02-01-2019,04:00,12.561,R,ugm-3 (Ref.eq),12.50989,R,ugm-3,58.24163,R,ugm-3,77.42320,R,ugm-3
02-01-2019,05:00,15.459,R,ugm-3 (Ref.eq),13.77140,R,ugm-3,59.26485,R,ugm-3,80.38070,R,ugm-3
02-01-2019,06:00,15.459,R,ugm-3 (Ref.eq),2.69821,R,ugm-3,29.13471,R,ugm-3,33.27191,R,ugm-3
02-01-2019,07:00,23.189,R,ugm-3 (Ref.eq),27.36758,R,ugm-3,66.40831,R,ugm-3,108.37135,R,ugm-3
02-01-2019,08:00,21.256,R,ugm-3 (Ref.eq),22.28653,R,ugm-3,71.08320,R,ugm-3,105.25541,R,ugm-3
02-01-2019,09:00,23.189,R,ugm-3 (Ref.eq),23.54804,R,ugm-3,71.20862,R,ugm-3,107.31510,R,ugm-3
02-01-2019,10:00,24.155,R,ugm-3 (Ref.eq),35.11180,R,ugm-3,69.74402,R,ugm-3,123.58137,R,ugm-3
02-01-2019,11:00,18.358,R,ugm-3 (Ref.eq),16.67986,R,ugm-3,53.48496,R,ugm-3,79.06039,R,ugm-3
02-01-2019,12:00,,,,9.63647,R,ugm-3,42.84277,R,ugm-3,57.61849,R,ugm-3
02-01-2019,13:00,19.324,R,ugm-3 (Ref.eq),10.44243,R,ugm-3,34.53010,R,ugm-3,50.54161,R,ugm-3
02-01-2019,14:00,11.594,R,ugm-3 (Ref.eq),10.26722,R,ugm-3,34.53469,R,ugm-3,50.27755,R,ugm-3
02-01-2019,15:00,14.493,R,ugm-3 (Ref.eq),7.53397,R,ugm-3,32.12405,R,ugm-3,43.67598,R,ugm-3
