Data supplied by UK-AIR on 9/5/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth Anglesea Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2022,01:00,28.986,R,ugm-3 (Ref.eq),1.12814,R,ugm-3,9.06592,R,ugm-3,10.79571,R,ugm-3
01-01-2022,02:00,28.020,R,ugm-3 (Ref.eq),1.90917,R,ugm-3,12.18665,R,ugm-3,15.11400,R,ugm-3
01-01-2022,03:00,25.121,R,ugm-3 (Ref.eq),1.98510,R,ugm-3,9.25321,R,ugm-3,12.29699,R,ugm-3
01-01-2022,04:00,19.324,R,ugm-3 (Ref.eq),0.68339,R,ugm-3,8.21284,R,ugm-3,9.26070,R,ugm-3
01-01-2022,05:00,18.358,R,ugm-3 (Ref.eq),0.19526,R,ugm-3,8.10103,R,ugm-3,8.40041,R,ugm-3
01-01-2022,06:00,17.392,R,ugm-3 (Ref.eq),0.13017,R,ugm-3,8.70687,R,ugm-3,8.90646,R,ugm-3
01-01-2022,07:00,21.256,R,ugm-3 (Ref.eq),2.66849,R,ugm-3,5.32088,R,ugm-3,9.41251,R,ugm-3
01-01-2022,08:00,23.189,R,ugm-3 (Ref.eq),0.78102,R,ugm-3,10.34037,R,ugm-3,11.53792,R,ugm-3
01-01-2022,09:00,23.189,R,ugm-3 (Ref.eq),1.46442,R,ugm-3,9.14069,R,ugm-3,11.38610,R,ugm-3
01-01-2022,10:00,22.223,R,ugm-3 (Ref.eq),2.18035,R,ugm-3,13.96371,R,ugm-3,17.30687,R,ugm-3
01-01-2022,11:00,28.020,R,ugm-3 (Ref.eq),9.11193,R,ugm-3,24.74132,R,ugm-3,38.71275,R,ugm-3
01-01-2022,12:00,32.851,R,ugm-3 (Ref.eq),10.41363,R,ugm-3,18.03914,R,ugm-3,34.00649,R,ugm-3
01-01-2022,13:00,39.614,R,ugm-3 (Ref.eq),16.10859,R,ugm-3,28.48626,R,ugm-3,53.18575,R,ugm-3
01-01-2022,14:00,28.020,R,ugm-3 (Ref.eq),13.99332,R,ugm-3,23.37982,R,ugm-3,44.83594,R,ugm-3
01-01-2022,15:00,34.783,R,ugm-3 (Ref.eq),15.36011,R,ugm-3,25.63612,R,ugm-3,49.18796,R,ugm-3
01-01-2022,16:00,37.682,R,ugm-3 (Ref.eq),16.10859,R,ugm-3,32.28162,R,ugm-3,56.98112,R,ugm-3
