Data supplied by UK-AIR on 10/1/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth Anglesea Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2023,01:00,22.223,R,ugm-3 (Ref.eq),2.62699,R,ugm-3,7.67189,R,ugm-3,11.69988,R,ugm-3
01-01-2023,02:00,21.256,R,ugm-3 (Ref.eq),5.23245,R,ugm-3,13.36587,R,ugm-3,21.38884,R,ugm-3
01-01-2023,03:00,26.087,R,ugm-3 (Ref.eq),3.16531,R,ugm-3,10.05397,R,ugm-3,14.90737,R,ugm-3
01-01-2023,04:00,32.851,R,ugm-3 (Ref.eq),3.45600,R,ugm-3,12.10112,R,ugm-3,17.40024,R,ugm-3
01-01-2023,05:00,30.918,R,ugm-3 (Ref.eq),1.19506,R,ugm-3,6.94250,R,ugm-3,8.77491,R,ugm-3
01-01-2023,06:00,33.817,R,ugm-3 (Ref.eq),1.22736,R,ugm-3,6.24483,R,ugm-3,8.12676,R,ugm-3
01-01-2023,07:00,30.918,R,ugm-3 (Ref.eq),0.80748,R,ugm-3,5.49264,R,ugm-3,6.73075,R,ugm-3
01-01-2023,08:00,32.851,R,ugm-3 (Ref.eq),1.22736,R,ugm-3,7.79041,R,ugm-3,9.67234,R,ugm-3
01-01-2023,09:00,38.648,R,ugm-3 (Ref.eq),3.26220,R,ugm-3,10.15469,R,ugm-3,15.15666,R,ugm-3
01-01-2023,10:00,32.851,R,ugm-3 (Ref.eq),3.97278,R,ugm-3,11.50816,R,ugm-3,17.59967,R,ugm-3
01-01-2023,11:00,34.783,R,ugm-3 (Ref.eq),7.52568,R,ugm-3,21.36670,R,ugm-3,32.90591,R,ugm-3
01-01-2023,12:00,33.817,R,ugm-3 (Ref.eq),12.69352,R,ugm-3,24.56098,R,ugm-3,44.02412,R,ugm-3
01-01-2023,13:00,29.952,R,ugm-3 (Ref.eq),10.52949,R,ugm-3,24.38911,R,ugm-3,40.53409,R,ugm-3
01-01-2023,14:00,23.189,R,ugm-3 (Ref.eq),11.78915,R,ugm-3,24.75109,R,ugm-3,42.82754,R,ugm-3
01-01-2023,15:00,31.885,R,ugm-3 (Ref.eq),8.07476,R,ugm-3,22.36951,R,ugm-3,34.75063,R,ugm-3
01-01-2023,16:00,23.189,R,ugm-3 (Ref.eq),12.27364,R,ugm-3,30.58940,R,ugm-3,49.40872,R,ugm-3
01-01-2023,17:00,24.155,R,ugm-3 (Ref.eq),12.53203,R,ugm-3,35.07924,R,ugm-3,54.29475,R,ugm-3
01-01-2023,18:00,13.527,R,ugm-3 (Ref.eq),18.89494,R,ugm-3,39.93114,R,ugm-3,68.90297,R,ugm-3
01-01-2023,19:00,9.662,R,ugm-3 (Ref.eq),14.53457,R,ugm-3,32.40758,R,ugm-3,54.69360,R,ugm-3
