"Date","Time","PM10_HOUR","Status","Unit"
2020-03-26,06:00:00,45.411,"R","ugm-3 (Ref.eq)"
2020-03-26,07:00:00,45.411,"R","ugm-3 (Ref.eq)"
2020-03-26,08:00:00,47.344,"R","ugm-3 (Ref.eq)"
2020-03-26,09:00:00,48.31,"R","ugm-3 (Ref.eq)"
2020-03-26,10:00:00,43.479,"R","ugm-3 (Ref.eq)"
2020-03-26,11:00:00,NA,"",""
2020-03-26,12:00:00,NA,"",""
2020-03-26,13:00:00,28.02,"R","ugm-3 (Ref.eq)"
2020-03-26,14:00:00,32.851,"R","ugm-3 (Ref.eq)"
2020-03-26,15:00:00,26.087,"R","ugm-3 (Ref.eq)"
2020-03-26,16:00:00,31.885,"R","ugm-3 (Ref.eq)"
2020-03-26,17:00:00,28.02,"R","ugm-3 (Ref.eq)"
2020-03-26,18:00:00,28.986,"R","ugm-3 (Ref.eq)"
2020-03-26,19:00:00,28.986,"R","ugm-3 (Ref.eq)"
2020-03-26,20:00:00,31.885,"R","ugm-3 (Ref.eq)"
2020-03-26,21:00:00,29.952,"R","ugm-3 (Ref.eq)"
2020-03-26,22:00:00,29.952,"R","ugm-3 (Ref.eq)"
2020-03-26,23:00:00,35.749,"R","ugm-3 (Ref.eq)"
2020-03-26,23:59:00,40.58,"R","ugm-3 (Ref.eq)"
2020-06-29,01:00:00,18.358,"R","ugm-3 (Ref.eq)"
2020-06-29,02:00:00,12.561,"R","ugm-3 (Ref.eq)"
2020-06-29,03:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-06-29,04:00:00,18.358,"R","ugm-3 (Ref.eq)"
2020-06-29,05:00:00,14.493,"R","ugm-3 (Ref.eq)"
2020-06-29,06:00:00,17.392,"R","ugm-3 (Ref.eq)"
2020-06-29,07:00:00,16.425,"R","ugm-3 (Ref.eq)"
2020-06-29,08:00:00,23.189,"R","ugm-3 (Ref.eq)"
2020-06-29,09:00:00,18.358,"R","ugm-3 (Ref.eq)"
2020-06-29,10:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-06-29,11:00:00,22.223,"R","ugm-3 (Ref.eq)"
2020-06-29,12:00:00,26.087,"R","ugm-3 (Ref.eq)"
2020-06-29,13:00:00,23.189,"R","ugm-3 (Ref.eq)"
2020-06-29,14:00:00,26.087,"R","ugm-3 (Ref.eq)"
2020-06-29,15:00:00,24.155,"R","ugm-3 (Ref.eq)"
2020-06-29,16:00:00,19.324,"R","ugm-3 (Ref.eq)"
2020-06-29,17:00:00,23.189,"R","ugm-3 (Ref.eq)"
2020-06-29,18:00:00,23.189,"R","ugm-3 (Ref.eq)"
2020-06-29,19:00:00,25.121,"R","ugm-3 (Ref.eq)"
2020-06-29,20:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-06-29,21:00:00,26.087,"R","ugm-3 (Ref.eq)"
2020-06-29,22:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-06-29,23:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-06-29,23:59:00,17.392,"R","ugm-3 (Ref.eq)"
2020-11-10,01:00:00,9.662,"R","ugm-3 (Ref.eq)"
2020-11-10,02:00:00,8.696,"R","ugm-3 (Ref.eq)"
2020-11-10,03:00:00,5.797,"R","ugm-3 (Ref.eq)"
2020-11-10,04:00:00,3.865,"R","ugm-3 (Ref.eq)"
2020-11-10,05:00:00,2.899,"R","ugm-3 (Ref.eq)"
2020-11-10,06:00:00,4.831,"R","ugm-3 (Ref.eq)"
2020-11-10,07:00:00,9.662,"R","ugm-3 (Ref.eq)"
2020-11-10,08:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-11-10,09:00:00,12.561,"R","ugm-3 (Ref.eq)"
2020-11-10,10:00:00,11.594,"R","ugm-3 (Ref.eq)"
2020-11-10,11:00:00,10.628,"R","ugm-3 (Ref.eq)"
2020-11-10,12:00:00,9.662,"R","ugm-3 (Ref.eq)"
2020-11-10,13:00:00,9.662,"R","ugm-3 (Ref.eq)"
2020-11-10,14:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-11-10,15:00:00,11.594,"R","ugm-3 (Ref.eq)"
2020-11-10,16:00:00,16.425,"R","ugm-3 (Ref.eq)"
2020-11-10,17:00:00,17.392,"R","ugm-3 (Ref.eq)"
2020-11-10,18:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-11-10,19:00:00,22.223,"R","ugm-3 (Ref.eq)"
2020-11-10,20:00:00,14.493,"R","ugm-3 (Ref.eq)"
2020-11-10,21:00:00,12.561,"R","ugm-3 (Ref.eq)"
2020-11-10,22:00:00,9.662,"R","ugm-3 (Ref.eq)"
2020-11-10,23:00:00,7.73,"R","ugm-3 (Ref.eq)"
2020-11-10,23:59:00,4.831,"R","ugm-3 (Ref.eq)"
2020-12-20,01:00:00,20.29,"R","ugm-3 (Ref.eq)"
2020-12-20,02:00:00,15.459,"R","ugm-3 (Ref.eq)"
2020-12-20,03:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-12-20,04:00:00,16.425,"R","ugm-3 (Ref.eq)"
2020-12-20,05:00:00,12.561,"R","ugm-3 (Ref.eq)"
2020-12-20,06:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-12-20,07:00:00,11.594,"R","ugm-3 (Ref.eq)"
2020-12-20,08:00:00,14.493,"R","ugm-3 (Ref.eq)"
2020-12-20,09:00:00,15.459,"R","ugm-3 (Ref.eq)"
2020-12-20,10:00:00,17.392,"R","ugm-3 (Ref.eq)"
2020-12-20,11:00:00,16.425,"R","ugm-3 (Ref.eq)"
2020-12-20,12:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-12-20,13:00:00,14.493,"R","ugm-3 (Ref.eq)"
2020-12-20,14:00:00,19.324,"R","ugm-3 (Ref.eq)"
2020-12-20,15:00:00,14.493,"R","ugm-3 (Ref.eq)"
2020-12-20,16:00:00,17.392,"R","ugm-3 (Ref.eq)"
2020-12-20,17:00:00,6.763,"R","ugm-3 (Ref.eq)"
2020-12-20,18:00:00,19.324,"R","ugm-3 (Ref.eq)"
2020-12-20,19:00:00,18.358,"R","ugm-3 (Ref.eq)"
2020-12-20,20:00:00,18.358,"R","ugm-3 (Ref.eq)"
2020-12-20,21:00:00,10.628,"R","ugm-3 (Ref.eq)"
2020-12-20,22:00:00,13.527,"R","ugm-3 (Ref.eq)"
2020-12-20,23:00:00,17.392,"R","ugm-3 (Ref.eq)"
2020-12-20,23:59:00,14.493,"R","ugm-3 (Ref.eq)"
2021-01-03,01:00:00,19.324,"R","ugm-3 (Ref.eq)"
2021-01-03,02:00:00,18.358,"R","ugm-3 (Ref.eq)"
2021-01-03,03:00:00,18.358,"R","ugm-3 (Ref.eq)"
2021-01-03,04:00:00,7.73,"R","ugm-3 (Ref.eq)"
2021-01-03,05:00:00,4.831,"R","ugm-3 (Ref.eq)"
2021-01-03,06:00:00,4.831,"R","ugm-3 (Ref.eq)"
2021-01-03,07:00:00,6.763,"R","ugm-3 (Ref.eq)"
2021-01-03,08:00:00,7.73,"R","ugm-3 (Ref.eq)"
2021-01-03,09:00:00,5.797,"R","ugm-3 (Ref.eq)"
2021-01-03,10:00:00,8.696,"R","ugm-3 (Ref.eq)"
2021-01-03,11:00:00,7.73,"R","ugm-3 (Ref.eq)"
2021-01-03,12:00:00,8.696,"R","ugm-3 (Ref.eq)"
2021-01-03,13:00:00,6.763,"R","ugm-3 (Ref.eq)"
2021-01-03,14:00:00,8.696,"R","ugm-3 (Ref.eq)"
2021-01-03,15:00:00,9.662,"R","ugm-3 (Ref.eq)"
2021-01-03,16:00:00,14.493,"R","ugm-3 (Ref.eq)"
2021-01-03,17:00:00,11.594,"R","ugm-3 (Ref.eq)"
2021-01-03,18:00:00,9.662,"R","ugm-3 (Ref.eq)"
2021-01-03,19:00:00,12.561,"R","ugm-3 (Ref.eq)"
2021-01-03,20:00:00,6.763,"R","ugm-3 (Ref.eq)"
2021-01-03,21:00:00,9.662,"R","ugm-3 (Ref.eq)"
2021-01-03,22:00:00,13.527,"R","ugm-3 (Ref.eq)"
2021-01-03,23:00:00,16.425,"R","ugm-3 (Ref.eq)"
2021-01-03,23:59:00,13.527,"R","ugm-3 (Ref.eq)"
2021-11-29,01:00:00,9.662,"",""
2021-11-29,02:00:00,9.662,"",""
2021-11-29,03:00:00,10.628,"",""
2021-11-29,04:00:00,8.696,"",""
2021-11-29,05:00:00,8.696,"",""
2021-11-29,06:00:00,7.73,"",""
2021-11-29,07:00:00,8.696,"",""
2021-11-29,08:00:00,9.662,"",""
2021-11-29,09:00:00,10.145,"",""
2021-11-29,10:00:00,8.2125,"",""
2021-11-29,11:00:00,10.145,"",""
2021-11-29,12:00:00,13.044,"",""
2021-11-29,13:00:00,39.614,"R","ugm-3 (Ref.eq)"
2021-11-29,14:00:00,24.155,"R","ugm-3 (Ref.eq)"
2021-11-29,15:00:00,26.087,"R","ugm-3 (Ref.eq)"
2021-11-29,16:00:00,21.256,"R","ugm-3 (Ref.eq)"
2021-11-29,17:00:00,22.223,"R","ugm-3 (Ref.eq)"
2021-11-29,18:00:00,19.324,"R","ugm-3 (Ref.eq)"
2021-11-29,19:00:00,26.087,"R","ugm-3 (Ref.eq)"
2021-11-29,20:00:00,11.594,"R","ugm-3 (Ref.eq)"
2021-11-29,21:00:00,7.73,"R","ugm-3 (Ref.eq)"
2021-11-29,22:00:00,9.662,"R","ugm-3 (Ref.eq)"
2021-11-29,23:00:00,8.696,"R","ugm-3 (Ref.eq)"
2021-11-29,23:59:00,10.628,"R","ugm-3 (Ref.eq)"
2022-07-25,01:00:00,16.425,"R","ugm-3 (Ref.eq)"
2022-07-25,02:00:00,25.121,"R","ugm-3 (Ref.eq)"
2022-07-25,03:00:00,19.324,"R","ugm-3 (Ref.eq)"
2022-07-25,04:00:00,16.425,"R","ugm-3 (Ref.eq)"
2022-07-25,05:00:00,19.324,"R","ugm-3 (Ref.eq)"
2022-07-25,06:00:00,24.155,"R","ugm-3 (Ref.eq)"
2022-07-25,07:00:00,17.392,"R","ugm-3 (Ref.eq)"
2022-07-25,08:00:00,15.459,"R","ugm-3 (Ref.eq)"
2022-07-25,09:00:00,16.425,"R","ugm-3 (Ref.eq)"
2022-07-25,10:00:00,14.493,"R","ugm-3 (Ref.eq)"
2022-07-25,11:00:00,21.256,"R","ugm-3 (Ref.eq)"
2022-07-25,12:00:00,17.392,"R","ugm-3 (Ref.eq)"
2022-07-25,13:00:00,14.493,"R","ugm-3 (Ref.eq)"
2022-07-25,14:00:00,15.459,"R","ugm-3 (Ref.eq)"
2022-07-25,15:00:00,12.561,"R","ugm-3 (Ref.eq)"
2022-07-25,16:00:00,12.561,"R","ugm-3 (Ref.eq)"
2022-07-25,17:00:00,15.459,"R","ugm-3 (Ref.eq)"
2022-07-25,18:00:00,13.527,"R","ugm-3 (Ref.eq)"
2022-07-25,19:00:00,11.594,"R","ugm-3 (Ref.eq)"
2022-07-25,20:00:00,9.662,"R","ugm-3 (Ref.eq)"
2022-07-25,21:00:00,9.662,"R","ugm-3 (Ref.eq)"
2022-07-25,22:00:00,6.763,"R","ugm-3 (Ref.eq)"
2022-07-25,23:00:00,5.797,"R","ugm-3 (Ref.eq)"
2022-07-25,23:59:00,8.696,"R","ugm-3 (Ref.eq)"
2023-07-24,01:00:00,16.425,"R","ugm-3 (Ref.eq)"
2023-07-24,02:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,03:00:00,15.459,"R","ugm-3 (Ref.eq)"
2023-07-24,04:00:00,16.425,"R","ugm-3 (Ref.eq)"
2023-07-24,05:00:00,8.696,"R","ugm-3 (Ref.eq)"
2023-07-24,06:00:00,10.628,"R","ugm-3 (Ref.eq)"
2023-07-24,07:00:00,11.594,"R","ugm-3 (Ref.eq)"
2023-07-24,08:00:00,11.594,"R","ugm-3 (Ref.eq)"
2023-07-24,09:00:00,10.628,"R","ugm-3 (Ref.eq)"
2023-07-24,10:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,11:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,12:00:00,16.425,"R","ugm-3 (Ref.eq)"
2023-07-24,13:00:00,9.662,"R","ugm-3 (Ref.eq)"
2023-07-24,14:00:00,8.696,"R","ugm-3 (Ref.eq)"
2023-07-24,15:00:00,17.392,"R","ugm-3 (Ref.eq)"
2023-07-24,16:00:00,10.628,"R","ugm-3 (Ref.eq)"
2023-07-24,17:00:00,11.594,"R","ugm-3 (Ref.eq)"
2023-07-24,18:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,19:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,20:00:00,12.561,"R","ugm-3 (Ref.eq)"
2023-07-24,21:00:00,11.594,"R","ugm-3 (Ref.eq)"
2023-07-24,22:00:00,13.527,"R","ugm-3 (Ref.eq)"
2023-07-24,23:00:00,9.662,"R","ugm-3 (Ref.eq)"
2023-07-24,23:59:00,13.527,"R","ugm-3 (Ref.eq)"
